5	0	5.21E+00	0.00E+00
5	0.0125	4.75E+00	-1.97E+00
5	0.025	3.49E+00	-3.49E+00
5	0.0375	1.76E+00	-4.27E+00
5	0.05	-4.33E-03	-4.19E+00
5	0.0625	-1.41E+00	-3.40E+00
5	0.075	-2.21E+00	-2.20E+00
5	0.0875	-2.34E+00	-9.59E-01
5	0.1	-1.93E+00	8.37E-03
5	0.1125	-1.26E+00	5.31E-01
5	0.125	-6.00E-01	6.09E-01
5	0.1375	-1.54E-01	3.81E-01
5	0.15	5.73E-06	5.08E-02
5	0.1625	-8.66E-02	-2.00E-01
5	0.175	-2.83E-01	-2.73E-01
5	0.1875	-4.46E-01	-1.74E-01
5	0.2	-4.83E-01	1.24E-02
5	0.2125	-3.84E-01	1.73E-01
5	0.225	-2.09E-01	2.25E-01
5	0.2375	-5.41E-02	1.49E-01
5	0.25	-2.67E-07	-6.58E-03
5	0.2625	-7.59E-02	-1.55E-01
5	0.275	-2.47E-01	-2.11E-01
5	0.2875	-4.33E-01	-1.30E-01
5	0.3	-5.40E-01	7.31E-02
5	0.3125	-4.98E-01	3.27E-01
5	0.325	-2.84E-01	5.25E-01
5	0.3375	7.43E-02	4.96E-01
5	0.35	3.54E-08	1.71E-03
5	0.3625	-1.32E-01	4.44E-01
5	0.375	1.74E-01	4.11E-01
5	0.3875	2.89E-01	2.26E-01
5	0.4	2.71E-01	5.83E-02
5	0.4125	1.86E-01	-4.08E-02
5	0.425	9.11E-02	-6.68E-02
5	0.4375	2.48E-02	-4.25E-02
5	0.45	-7.84E-09	-6.26E-04
5	0.4625	8.79E-03	3.10E-02
5	0.475	3.17E-02	3.94E-02
5	0.4875	4.97E-02	2.67E-02
5	0.5	5.23E-02	5.03E-03
